"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
1990,HI,Total Electric Power Industry,Coal (Short Tons),"2,013"
1990,HI,Total Electric Power Industry,Petroleum (Barrels),"16,033,262"
1990,HI,Total Electric Power Industry,Other Gases (Billion BTU),211
1990,HI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"13,769,448"
1990,HI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"34,680"
1990,HI,"Combined Heat and Power, Electric Power",Coal (Short Tons),839
1990,HI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,629,135"
1990,HI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,174"
1990,HI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"599,999"
1990,HI,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),211
1990,IA,Total Electric Power Industry,Coal (Short Tons),"15,922,186"
1990,IA,Total Electric Power Industry,Petroleum (Barrels),"134,131"
1990,IA,Total Electric Power Industry,Natural Gas (Mcf),"5,331,961"
1990,IA,"Electric Generators, Electric Utilities",Coal (Short Tons),"15,330,517"
1990,IA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"122,830"
1990,IA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,478,355"
1990,IA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),650
1990,IA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"40,000"
1990,IA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"91,740"
1990,IA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"378,268"
1990,IA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"4,499"
1990,IA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),532
1990,IA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"42,233"
1990,IA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"495,430"
1990,IA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"10,119"
1990,IA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,393,105"
1990,ID,Total Electric Power Industry,Coal (Short Tons),"30,719"
1990,ID,Total Electric Power Industry,Petroleum (Barrels),"2,325"
