"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
1990,NC,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,181,044"
1990,NC,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"7,479"
1990,NC,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"107,190"
1990,NC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"215,034"
1990,NC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"309,812"
1990,NC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"329,310"
1990,ND,Total Electric Power Industry,Coal (Short Tons),"21,631,578"
1990,ND,Total Electric Power Industry,Petroleum (Barrels),"90,805"
1990,ND,Total Electric Power Industry,Natural Gas (Mcf),"588,882"
1990,ND,"Electric Generators, Electric Utilities",Coal (Short Tons),"21,579,237"
1990,ND,"Electric Generators, Electric Utilities",Petroleum (Barrels),"56,713"
1990,ND,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,764"
1990,ND,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"52,341"
1990,ND,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"34,092"
1990,ND,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"587,118"
1990,NE,Total Electric Power Industry,Coal (Short Tons),"8,027,846"
1990,NE,Total Electric Power Industry,Petroleum (Barrels),"31,360"
1990,NE,Total Electric Power Industry,Natural Gas (Mcf),"3,767,748"
1990,NE,"Electric Generators, Electric Utilities",Coal (Short Tons),"8,026,897"
1990,NE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"31,360"
1990,NE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,766,333"
1990,NE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),949
1990,NE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,415"
1990,NH,Total Electric Power Industry,Coal (Short Tons),"1,146,343"
1990,NH,Total Electric Power Industry,Petroleum (Barrels),"4,109,098"
1990,NH,Total Electric Power Industry,Natural Gas (Mcf),0
1990,NH,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,146,343"
1990,NH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,020,072"
1990,NH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),0
1990,NH,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,100"
1990,NH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"40,476"
1990,NH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"46,450"
1990,NJ,Total Electric Power Industry,Coal (Short Tons),"2,739,640"
1990,NJ,Total Electric Power Industry,Petroleum (Barrels),"3,915,246"
1990,NJ,Total Electric Power Industry,Natural Gas (Mcf),"72,479,013"
1990,NJ,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,739,640"
1990,NJ,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,449,710"
1990,NJ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"47,625,400"
1990,NJ,"Electric Generators, Independent Power Producers",Petroleum (Barrels),490
1990,NJ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"53,890"
1990,NJ,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"63,124"
1990,NJ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"16,107,163"
1990,NJ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,889"
1990,NJ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"560,819"
1990,NJ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"400,033"
1990,NJ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"8,131,741"
1990,NM,Total Electric Power Industry,Coal (Short Tons),"15,064,983"
1990,NM,Total Electric Power Industry,Petroleum (Barrels),"71,190"
1990,NM,Total Electric Power Industry,Natural Gas (Mcf),"29,568,523"
1990,NM,"Electric Generators, Electric Utilities",Coal (Short Tons),"15,064,983"
1990,NM,"Electric Generators, Electric Utilities",Petroleum (Barrels),"69,042"
1990,NM,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"25,420,085"
1990,NM,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"31,182"
1990,NM,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"198,126"
1990,NM,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"2,148"
1990,NM,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,919,130"
1990,NV,Total Electric Power Industry,Coal (Short Tons),"7,269,557"
1990,NV,Total Electric Power Industry,Petroleum (Barrels),"535,063"
1990,NV,Total Electric Power Industry,Natural Gas (Mcf),"24,348,267"
1990,NV,"Electric Generators, Electric Utilities",Coal (Short Tons),"7,269,557"
1990,NV,"Electric Generators, Electric Utilities",Petroleum (Barrels),"535,063"
1990,NV,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"24,348,267"
1990,NY,Total Electric Power Industry,Coal (Short Tons),"10,527,754"
1990,NY,Total Electric Power Industry,Petroleum (Barrels),"55,546,783"
1990,NY,Total Electric Power Industry,Natural Gas (Mcf),"236,260,412"
1990,NY,Total Electric Power Industry,Other Gases (Billion BTU),"2,376"
1990,NY,"Electric Generators, Electric Utilities",Coal (Short Tons),"9,992,652"
1990,NY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"54,815,991"
1990,NY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"223,252,884"
1990,NY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"423,020"
1990,NY,"Combined Heat and Power, Electric Power",Coal (Short Tons),"113,237"
1990,NY,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"65,884"
1990,NY,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"5,101,159"
1990,NY,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"7,112"
1990,NY,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"70,780"
1990,NY,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"966,987"
1990,NY,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"414,753"
1990,NY,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"594,128"
1990,NY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"6,516,362"
1990,NY,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"2,376"
1990,OH,Total Electric Power Industry,Coal (Short Tons),"49,145,307"
1990,OH,Total Electric Power Industry,Petroleum (Barrels),"738,189"
1990,OH,Total Electric Power Industry,Natural Gas (Mcf),"2,888,996"
1990,OH,Total Electric Power Industry,Other Gases (Billion BTU),591
1990,OH,"Electric Generators, Electric Utilities",Coal (Short Tons),"48,848,411"
1990,OH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"587,591"
1990,OH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,253,896"
1990,OH,"Combined Heat and Power, Commercial Power",Coal (Short Tons),820
1990,OH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"20,200"
1990,OH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"875,652"
1990,OH,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"296,076"
1990,OH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"130,398"
1990,OH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"759,448"
1990,OH,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),591
1990,OK,Total Electric Power Industry,Coal (Short Tons),"15,098,121"
1990,OK,Total Electric Power Industry,Petroleum (Barrels),"114,084"
1990,OK,Total Electric Power Industry,Natural Gas (Mcf),"178,652,956"
1990,OK,Total Electric Power Industry,Other Gases (Billion BTU),825
1990,OK,"Electric Generators, Electric Utilities",Coal (Short Tons),"14,866,194"
1990,OK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"86,352"
1990,OK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"168,959,810"
1990,OK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"79,772"
1990,OK,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"6,942,076"
1990,OK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"476,046"
1990,OK,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"152,155"
1990,OK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"27,732"
1990,OK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,275,024"
1990,OK,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),825
1990,OR,Total Electric Power Industry,Coal (Short Tons),"865,447"
1990,OR,Total Electric Power Industry,Petroleum (Barrels),"58,943"
1990,OR,Total Electric Power Industry,Natural Gas (Mcf),"7,558,544"
1990,OR,"Electric Generators, Electric Utilities",Coal (Short Tons),"849,867"
1990,OR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"55,898"
1990,OR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"7,385,979"
1990,OR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"15,580"
1990,OR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"3,045"
1990,OR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"172,565"
1990,PA,Total Electric Power Industry,Coal (Short Tons),"45,497,182"
1990,PA,Total Electric Power Industry,Petroleum (Barrels),"9,343,102"
1990,PA,Total Electric Power Industry,Natural Gas (Mcf),"27,423,868"
1990,PA,Total Electric Power Industry,Other Gases (Billion BTU),"12,121"
1990,PA,"Electric Generators, Electric Utilities",Coal (Short Tons),"41,464,640"
1990,PA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"7,595,639"
1990,PA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,363,511"
1990,PA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"400,570"
1990,PA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"23,500"
1990,PA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"2,975,180"
1990,PA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,083,293"
1990,PA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"9,249,068"
1990,PA,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),12
1990,PA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"1,808"
1990,PA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"37,359"
1990,PA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,633,202"
1990,PA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"654,984"
1990,PA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"603,311"
1990,PA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"14,178,087"
1990,PA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"12,109"
1990,RI,Total Electric Power Industry,Coal (Short Tons),0
1990,RI,Total Electric Power Industry,Petroleum (Barrels),"475,989"
1990,RI,Total Electric Power Industry,Natural Gas (Mcf),"8,976,398"
1990,RI,"Electric Generators, Electric Utilities",Coal (Short Tons),0
1990,RI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"358,287"
1990,RI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,484,034"
1990,RI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"44,540"
1990,RI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,080,000"
1990,RI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"117,702"
1990,RI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"367,824"
1990,SC,Total Electric Power Industry,Coal (Short Tons),"9,416,852"
1990,SC,Total Electric Power Industry,Petroleum (Barrels),"345,799"
1990,SC,Total Electric Power Industry,Natural Gas (Mcf),"7,817,433"
1990,SC,Total Electric Power Industry,Other Gases (Billion BTU),0
1990,SC,"Electric Generators, Electric Utilities",Coal (Short Tons),"9,130,716"
1990,SC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"125,345"
1990,SC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,974,945"
1990,SC,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),0
1990,SC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"4,174"
1990,SC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"175,887"
1990,SC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"286,136"
1990,SC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"216,280"
1990,SC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"666,601"
1990,SD,Total Electric Power Industry,Coal (Short Tons),"2,344,979"
1990,SD,Total Electric Power Industry,Petroleum (Barrels),"32,076"
1990,SD,Total Electric Power Industry,Natural Gas (Mcf),"235,402"
1990,SD,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,344,979"
1990,SD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"32,076"
1990,SD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"235,402"
1990,TN,Total Electric Power Industry,Coal (Short Tons),"21,345,551"
1990,TN,Total Electric Power Industry,Petroleum (Barrels),"236,667"
1990,TN,Total Electric Power Industry,Natural Gas (Mcf),"2,813,645"
1990,TN,Total Electric Power Industry,Other Gases (Billion BTU),26
1990,TN,"Electric Generators, Electric Utilities",Coal (Short Tons),"20,813,834"
1990,TN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"232,133"
1990,TN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"564,627"
1990,TN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"26,732"
1990,TN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"20,843"
1990,TN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"504,985"
1990,TN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"4,534"
1990,TN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,228,175"
1990,TN,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),26
1990,TX,Total Electric Power Industry,Coal (Short Tons),"89,452,970"
1990,TX,Total Electric Power Industry,Petroleum (Barrels),"3,592,450"
1990,TX,Total Electric Power Industry,Natural Gas (Mcf),"1,308,647,540"
1990,TX,Total Electric Power Industry,Other Gases (Billion BTU),"31,759"
1990,TX,"Electric Generators, Electric Utilities",Coal (Short Tons),"87,247,970"
1990,TX,"Electric Generators, Electric Utilities",Petroleum (Barrels),"954,423"
1990,TX,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,007,380,971"
1990,TX,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"19,265"
1990,TX,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"100,933,681"
1990,TX,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),"1,048"
1990,TX,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"41,657"
1990,TX,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"4,562,128"
1990,TX,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,205,000"
1990,TX,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"2,577,105"
1990,TX,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"195,770,760"
1990,TX,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"30,711"
1990,UT,Total Electric Power Industry,Coal (Short Tons),"13,564,291"
1990,UT,Total Electric Power Industry,Petroleum (Barrels),"87,821"
1990,UT,Total Electric Power Industry,Natural Gas (Mcf),"1,628,924"
1990,UT,Total Electric Power Industry,Other Gases (Billion BTU),"1,416"
1990,UT,"Electric Generators, Electric Utilities",Coal (Short Tons),"13,563,241"
1990,UT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"83,885"
1990,UT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"906,609"
1990,UT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),129
1990,UT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"246,401"
1990,UT,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,050"
1990,UT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"3,807"
1990,UT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"475,914"
1990,UT,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"1,416"
1990,VA,Total Electric Power Industry,Coal (Short Tons),"9,552,806"
1990,VA,Total Electric Power Industry,Petroleum (Barrels),"2,271,628"
1990,VA,Total Electric Power Industry,Natural Gas (Mcf),"9,926,884"
1990,VA,"Electric Generators, Electric Utilities",Coal (Short Tons),"8,227,834"
1990,VA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,902,270"
1990,VA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,537,226"
1990,VA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"758,432"
1990,VA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"66,092"
1990,VA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,028,297"
1990,VA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"20,918"
1990,VA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"545,622"
1990,VA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"303,266"
1990,VA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"361,361"
1990,VT,Total Electric Power Industry,Petroleum (Barrels),"7,683"
1990,VT,Total Electric Power Industry,Natural Gas (Mcf),"685,267"
1990,VT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"7,683"
1990,VT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"685,267"
1990,WA,Total Electric Power Industry,Coal (Short Tons),"4,879,085"
1990,WA,Total Electric Power Industry,Petroleum (Barrels),"128,283"
1990,WA,Total Electric Power Industry,Natural Gas (Mcf),"4,131,176"
1990,WA,Total Electric Power Industry,Other Gases (Billion BTU),70
1990,WA,"Electric Generators, Electric Utilities",Coal (Short Tons),"4,851,835"
1990,WA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"31,220"
1990,WA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"190,562"
1990,WA,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),70
1990,WA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"4,512"
1990,WA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"17,921"
1990,WA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"22,738"
1990,WA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"97,063"
1990,WA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,922,693"
1990,WI,Total Electric Power Industry,Coal (Short Tons),"18,628,886"
1990,WI,Total Electric Power Industry,Petroleum (Barrels),"392,284"
1990,WI,Total Electric Power Industry,Natural Gas (Mcf),"4,663,304"
1990,WI,"Electric Generators, Electric Utilities",Coal (Short Tons),"18,132,508"
